quantile,rank,feature,coef,abs_coef
0.9,44,PctlV_90_5_buy,-0.00362829505,0.00362829505
0.9,45,FirstV_5_buy,-0.0036197743,0.0036197743
0.9,46,PctlV_75_180_buy,0.0035792525,0.0035792525
0.9,47,DeltaP_15_sell,0.00355416368,0.00355416368
0.9,48,PctlV_90_full_buy,0.00350420115,0.00350420115
0.9,49,MaxV_15_sell,-0.00345289706,0.00345289706
0.9,50,TradeCount_60_buy,0.0033770685,0.0033770685
0.9,51,TradeCount_15_sell,0.00337344411,0.00337344411
0.9,52,DeltaP_1_sell,-0.00330247871,0.00330247871
0.9,53,TradeCount_5_buy,0.00320865575,0.00320865575
0.9,54,FirstV_15_buy,-0.00313206051,0.00313206051
0.9,55,PctlP_90_180_buy,-0.0030922548,0.0030922548
0.9,56,PctlV_90_15_buy,-0.00309123214,0.00309123214
0.9,57,VolumeVolatility_5_buy,-0.0030400059,0.0030400059
0.9,58,DeltaV_full_buy,-0.00298544062,0.00298544062
0.9,59,PctlV_55_full_buy,-0.00279391896,0.00279391896
0.9,60,PctlV_10_15_sell,0.00269937241,0.00269937241
0.9,61,TradeCount_1_buy,0.00268567039,0.00268567039
0.9,62,PctlV_90_1_sell,-0.00265902478,0.00265902478
0.9,63,VolumeVolatility_180_sell,-0.00265691493,0.00265691493
0.9,64,PctlV_55_180_buy,0.00252802234,0.00252802234
0.9,65,PctlV_10_full_sell,0.00249985807,0.00249985807
0.9,66,LastV_1_buy,0.00245903837,0.00245903837
0.9,67,PctlP_25_1_sell,-0.00244318202,0.00244318202
0.9,68,FirstV_180_buy,-0.00238677279,0.00238677279
0.9,69,MeanV_full_sell,-0.00232518425,0.00232518425
0.9,70,PctlV_45_180_buy,-0.00227530924,0.00227530924
0.9,71,PriceVolatility_1_sell,-0.00226027386,0.00226027386
0.9,72,MedianV_5_sell,-0.00223600895,0.00223600895
0.9,73,PctlP_25_15_sell,0.00223031616,0.00223031616
0.9,74,MaxV_15_buy,0.00220889746,0.00220889746
