quantile,rank,feature,coef,abs_coef
0.9,67,MinV_1_sell,-0.00502321506,0.00502321506
0.9,68,PriceVolatility_15_sell,0.00499803344,0.00499803344
0.9,69,PctlV_45_full_sell,0.00496554833,0.00496554833
0.9,70,PctlV_90_full_sell,-0.00476380239,0.00476380239
0.9,71,FirstV_60_buy,0.00467894575,0.00467894575
0.9,72,TradeCount_full_sell,-0.00465592847,0.00465592847
0.9,73,PctlV_75_180_sell,0.00463318498,0.00463318498
0.9,74,PctlV_90_full_buy,-0.00449640126,0.00449640126
0.9,75,MeanV_60_buy,0.00446360406,0.00446360406
0.9,76,PriceVolatility_5_sell,0.0044556673,0.0044556673
0.9,77,LastV_60_buy,0.0043523944,0.0043523944
0.9,78,PctlV_25_180_sell,0.00430542268,0.00430542268
0.9,79,MinV_5_sell,0.00429479547,0.00429479547
0.9,80,FirstV_15_sell,0.00424958482,0.00424958482
0.9,81,MinV_15_sell,0.00396507455,0.00396507455
0.9,82,Momentum_15_buy,0.00391760278,0.00391760278
0.9,83,SumV_full_sell,-0.00382873355,0.00382873355
0.9,84,PriceVolatility_15_buy,-0.00378492469,0.00378492469
0.9,85,LastV_15_sell,0.00370913969,0.00370913969
0.9,86,TradeCount_180_buy,0.00369393483,0.00369393483
0.9,87,PctlV_10_full_buy,0.00357948021,0.00357948021
0.9,88,VolumeVolatility_5_buy,-0.00343120129,0.00343120129
0.9,89,SumV_15_sell,-0.00338857596,0.00338857596
0.9,90,FirstV_full_buy,0.00335686003,0.00335686003
0.9,91,PctlV_90_180_buy,0.00328959656,0.00328959656
0.9,92,PctlV_90_15_sell,-0.00309983924,0.00309983924
0.9,93,MaxV_5_buy,-0.00299402771,0.00299402771
0.9,94,Momentum_1_buy,-0.00278587666,0.00278587666
0.9,95,DeltaV_180_sell,0.00271646066,0.00271646066
0.9,96,SumV_180_sell,-0.00258482061,0.00258482061
0.9,97,TradeCount_15_buy,0.00258240578,0.00258240578
0.9,98,MedianV_1_sell,0.00257783761,0.00257783761
0.9,99,PctlV_25_180_buy,0.00251385595,0.00251385595
0.9,100,PctlV_10_180_sell,-0.00240681556,0.00240681556
0.9,101,MinV_180_sell,0.00236125332,0.00236125332
0.9,102,FirstV_60_sell,0.00233622968,0.00233622968
0.9,103,MaxV_60_sell,0.00216449138,0.00216449138
0.9,104,FirstP_1_sell,0.00213472543,0.00213472543
0.9,105,TradeCount_60_sell,0.00213405343,0.00213405343
0.9,106,VolumeVolatility_60_sell,-0.00209869215,0.00209869215
0.9,107,MinV_60_buy,0.00208154027,0.00208154027
0.9,108,MinV_180_buy,-0.00206541158,0.00206541158
0.9,109,TradeCount_full_buy,-0.00201149976,0.00201149976
0.9,110,MinV_60_sell,0.00197291831,0.00197291831
0.9,111,TradeCount_5_sell,0.00194040174,0.00194040174
0.9,112,MaxV_full_buy,-0.00182001347,0.00182001347
0.9,113,FirstV_full_sell,-0.00177855203,0.00177855203
0.9,114,Momentum_60_buy,-0.00161682626,0.00161682626
0.9,115,PctlV_10_full_sell,0.00161196176,0.00161196176
0.9,116,MaxV_180_buy,0.00160176939,0.00160176939
0.9,117,PctlV_25_60_sell,0.00153300902,0.00153300902
0.9,118,VolumeVolatility_5_sell,-0.00141320251,0.00141320251
0.9,119,SumV_5_buy,0.00140530294,0.00140530294
0.9,120,FirstV_15_buy,0.00118973578,0.00118973578
0.9,121,MaxV_full_sell,-0.00108921231,0.00108921231
0.9,122,TradeCount_5_buy,-0.0010813534,0.0010813534
0.9,123,PctlV_45_5_sell,-0.00107048268,0.00107048268
0.9,124,PctlV_25_full_buy,0.00106539645,0.00106539645
0.9,125,PctlV_45_180_sell,-0.00103239579,0.00103239579
0.9,126,PctlV_90_1_sell,0.00101502154,0.00101502154
0.9,127,LastV_180_sell,0.000955991467,0.000955991467
0.9,128,MinV_5_buy,0.000855670554,0.000855670554
0.9,129,MaxV_180_sell,-0.00073783019,0.00073783019
0.9,130,Momentum_full_sell,0.000693560731,0.000693560731
0.9,131,PctlV_90_180_sell,0.000492959871,0.000492959871
0.9,132,Momentum_180_sell,0.000362035154,0.000362035154
0.9,133,PctlV_45_15_sell,-0.000301659584,0.000301659584
0.9,134,Momentum_180_buy,-0.000284324655,0.000284324655
0.9,135,Momentum_5_sell,-0.000257439851,0.000257439851
0.9,136,Momentum_full_buy,0.000193950512,0.000193950512
0.9,137,SumV_60_sell,0.000164129081,0.000164129081
0.9,138,TradeCount_15_sell,7.45758281e-05,7.45758281e-05
